index,id,unit_type,street,suburb,region,country,postcode,lat,lon,doe,tel,prefix,suffix,email,name,status,open_hours,food1_pasta,food2_bread,food3_milk,food4_pie,food5_vet,capacity,rating
0,1,UNIT 2,JERSEY STREET,JOLIMONT,WA,AU,6014,-31.946,115.812,2014-11,116424708,JERSEY1,@zane.com,JERSEY1@zane.com,JERSEY1,TRUE,MON to THU 8-17 FRI to SUN,47,63,26,51,119,10,4.6
1,2,UNIT 3,TARAKAN AVENUE,NORTH ALBURY,NSW,AU,2640,-36.053,146.927,2013-07,877871114,TARAKAN2,@zane.com,TARAKAN2@zane.com,TARAKAN2,TRUE,MON to FRI 11-14 16-19,41,97,23,44,102,20,4.1
2,3,SHOP 2,BULCOCK STREET,CALOUNDRA,QLD,AU,4551,-26.805,153.131,2017-08,853991437,BULCOCK3,@zoohoo.com,BULCOCK3@zoohoo.com,BULCOCK3,TRUE,24Hours 7Days,60,95,25,48,105,15,4.8
3,4,UNIT 1,REGENCY ROAD,PROSPECT,SA,AU,5082,-34.874,138.591,2020-06,515022861,REGENCY4,@zane.com,REGENCY4@zane.com,REGENCY4,TRUE,MON to THU 8-17 FRI to SUN,52,63,26,48,103,10,4.1
4,5,UNIT 22,OAKS AVENUE,DEE WHY,NSW,AU,2099,-33.755,151.293,2022-07,606003215,OAKS5,@yahaa.com,OAKS5@yahaa.com,OAKS5,TRUE,24/7 NOT Available During PUBLIC VACATION,58,74,27,48,87,20,4.2
5,6,UNIT 5,DALTON STREET,KIPPA-RING,QLD,AU,4021,-27.225,153.095,2021-02,372547599,DALTON6,@aos.com,DALTON6@aos.com,DALTON6,TRUE,24/7 NOT Available During PUBLIC VACATION,45,72,30,60,109,25,4.5
6,7,UNIT 1,FRANKLAND STREET,LAUNCESTON,TAS,AU,7250,-41.447,147.14,2022-05,467099668,FRANKLAND7,@why.com,FRANKLAND7@why.com,FRANKLAND7,TRUE,24/7 NOT Available During PUBLIC VACATION,44,84,25,45,101,10,4.1
7,8,UNIT 4,COONGAN AVENUE,GREENMOUNT,WA,AU,6056,-31.905,116.049,2014-08,285229077,COONGAN8,@loveu.com,COONGAN8@loveu.com,COONGAN8,TRUE,24/7 NOT Available During PUBLIC VACATION,41,89,28,58,104,20,4.7
8,9,UNIT 5,STRADBROKE AVENUE,COWES,VIC,AU,3922,-38.45,145.251,2020-04,556703766,STRADBROKE9,@zoohoo.com,STRADBROKE9@zoohoo.com,STRADBROKE9,TRUE,MON to FRI 11-14 16-19,48,89,22,54,102,10,4.7
9,10,UNIT 1,EARL STREET,COFFS HARBOUR,NSW,AU,2450,-30.303,153.115,2012-10,324288536,EARL10,@nath.com,EARL10@nath.com,EARL10,TRUE,24H EXCEPT WED,47,62,26,42,103,20,4.6
